,text,star,app_id,reviewDate,corrected_text,accuracy %
0,Anathi Khanyile,5,com.fingersoft.hillclimb,18/03/21,Anathi Khanyile,100.0
1,Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18/03/21,Tony Bahut Funny Hai Hill climbing racing my favourite game.,80.0
2,Teturwu,1,com.fingersoft.hillclimb,18/03/21,Teturwu.,0.0
3,Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18/03/21,hooooooooooooyaaaaaaa what a game hooooooooooooyaaaaaaaaaaaaaa.,60.0
4,This game is nice,5,com.fingersoft.hillclimb,18/03/21,This game is nice.,75.0
5,Rahulyadavo,5,com.fingersoft.hillclimb,18/03/21,Rahulyadavo,100.0
6,"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18/03/21,"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars because the right pedal stops working in the game and that's why I kept falling on the bridge.",94.4
7,Very taty,3,com.fingersoft.hillclimb,18/03/21,Very nice.,50.0
8,0,0,0,0,0,0.0
9,I LIKE THIS GAME,5,com.fingersoft.hillclimb,18/03/21,I LIKE THIS GAME,100.0
10,Racing,5,com.fingersoft.hillclimb,18/03/21,Race.,0.0
11,0,0,0,0,0,0.0
12,Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18/03/21,Awesome game. Easy to use options.,83.3
13,Very noob game,1,com.fingersoft.hillclimb,18/03/21,A very noob game.,33.3
14,Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18/03/21,Hill climb racing 2 vip game.,83.3
15,Good games,4,com.fingersoft.hillclimb,18/03/21,Good games!,50.0
16,I is so oosem game,5,com.fingersoft.hillclimb,18/03/21,I is soooosem game.,40.0
17,Good game,3,com.fingersoft.hillclimb,18/03/21,Good game.,50.0
18,All right for the price you pay.,4,com.alibaba.aliexpresshd,18/03/21,All right for the price you pay.,100.0
19,"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18/03/21,"I like the app, it works really well and it is a much better experience then the website.",82.4
20,Chicago,5,com.alibaba.aliexpresshd,18/03/21,"Chicago,",0.0
21,Please add dark amoled theme,4,com.alibaba.aliexpresshd,18/03/21,Please add dark themed theme.,60.0
22,Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18/03/21,Very easy to use and my delivery was quick and very well protected.Thank you! A+.,87.5
23,Awesome,4,com.alibaba.aliexpresshd,18/03/21,Awesome.,0.0
24,Excelent Best of all,5,com.alibaba.aliexpresshd,18/03/21,Excellent Best of all.,50.0
25,I've been ordering here for years. Updated to say its still pretty good in 2021,5,com.alibaba.aliexpresshd,18/03/21,I've been ordering here for years. Updated to say its still pretty good in 2021.,93.3
26,Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1,com.alibaba.aliexpresshd,18/03/21,Why is Alixpress Customer Service not Available? If I don't understand please reply me.,66.7
27,Very useful app 👌,5,com.alibaba.aliexpresshd,18/03/21,Very useful app.,75.0
28,Excellent products and speed of shipments.,5,com.alibaba.aliexpresshd,18/03/21,Excellent product and speed of shipping.,66.7
29,"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂",5,com.alibaba.aliexpresshd,18/03/21,"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app that you dont have to worry about getting ads!",89.1
30,👍,5,com.alibaba.aliexpresshd,18/03/21,= = )  = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =,0.0
31,Love the possibilities of the app. Working wel.,5,com.alibaba.aliexpresshd,18/03/21,Love the possibilities of the app. Works well.,75.0
32,0,0,0,0,0,0.0
33,I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,5,com.alibaba.aliexpresshd,18/03/21,I Love AliExpress and All Sellers in AliExpress No Scam Zone.,83.3
34,I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,5,com.alibaba.aliexpresshd,18/03/21,I have ordered several times using the app and the very reliable shipping is fast and what you order is what you get.,77.3
35,The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,3,com.alibaba.aliexpresshd,18/03/21,The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,100.0
36,Great,5,com.alibaba.aliexpresshd,18/03/21,Great resource!,0.0
37,Good but late,3,com.alibaba.aliexpresshd,18/03/21,"Good, but late.",33.3
38,This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1,com.alibaba.aliexpresshd,18/03/21,This app is great for finding stuff at somewhat reasonable prices. But just like that they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller wants to lie about ETAs. I did this with this app. Since,91.8
39,"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",5,com.alibaba.aliexpresshd,18/03/21,"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",100.0
40,Fun fun fun,5,com.alibaba.aliexpresshd,18/03/21,Fun Fun Fun Fun.,33.3
41,Very good app,5,com.alibaba.aliexpresshd,18/03/21,Very good app.,66.7
42,Is incredible...,5,com.alibaba.aliexpresshd,18/03/21,is incredible!,0.0
43,Very good,3,com.alibaba.aliexpresshd,18/03/21,Very good.,50.0
44,Great honest app..,4,com.alibaba.aliexpresshd,18/03/21,Great honest app..,100.0
45,"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",2,com.alibaba.aliexpresshd,18/03/21,"The app itself is good, easy to use and has loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to",95.6
46,I can't live without Ali Express ido alot of shopping 🛒,5,com.alibaba.aliexpresshd,18/03/21,I can't live without Ali Express. I do alot of shopping.,63.6
