text,star,app_id,reviewDate
Anathi Khanyile,5,com.fingersoft.hillclimb,18/03/21
Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18/03/21
Teturwu,1,com.fingersoft.hillclimb,18/03/21
Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18/03/21
This game is nice,5,com.fingersoft.hillclimb,18/03/21
Rahulyadavo,5,com.fingersoft.hillclimb,18/03/21
"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18/03/21
Very taty,3,com.fingersoft.hillclimb,18/03/21
good,5,com.fingersoft.hillclimb,18/03/21
I LIKE THIS GAME,5,com.fingersoft.hillclimb,18/03/21
Racing,5,com.fingersoft.hillclimb,18/03/21
😆😆😆,5,com.fingersoft.hillclimb,18/03/21
Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18/03/21
Very noob game,1,com.fingersoft.hillclimb,18/03/21
Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18/03/21
Good games,4,com.fingersoft.hillclimb,18/03/21
I is so oosem game,5,com.fingersoft.hillclimb,18/03/21
Good game,3,com.fingersoft.hillclimb,18/03/21
All right for the price you pay.,4,com.alibaba.aliexpresshd,18/03/21
"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18/03/21
Chicago,5,com.alibaba.aliexpresshd,18/03/21
Please add dark amoled theme,4,com.alibaba.aliexpresshd,18/03/21
Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18/03/21
Awesome,4,com.alibaba.aliexpresshd,18/03/21
Excelent Best of all,5,com.alibaba.aliexpresshd,18/03/21
I've been ordering here for years. Updated to say its still pretty good in 2021,5,com.alibaba.aliexpresshd,18/03/21
Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1,com.alibaba.aliexpresshd,18/03/21
Very useful app 👌,5,com.alibaba.aliexpresshd,18/03/21
Excellent products and speed of shipments.,5,com.alibaba.aliexpresshd,18/03/21
"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂",5,com.alibaba.aliexpresshd,18/03/21
👍,5,com.alibaba.aliexpresshd,18/03/21
Love the possibilities of the app. Working wel.,5,com.alibaba.aliexpresshd,18/03/21
Great,4,com.alibaba.aliexpresshd,18/03/21
I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,5,com.alibaba.aliexpresshd,18/03/21
I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,5,com.alibaba.aliexpresshd,18/03/21
The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,3,com.alibaba.aliexpresshd,18/03/21
Great,5,com.alibaba.aliexpresshd,18/03/21
Good but late,3,com.alibaba.aliexpresshd,18/03/21
This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1,com.alibaba.aliexpresshd,18/03/21
"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",5,com.alibaba.aliexpresshd,18/03/21
Fun fun fun,5,com.alibaba.aliexpresshd,18/03/21
Very good app,5,com.alibaba.aliexpresshd,18/03/21
Is incredible...,5,com.alibaba.aliexpresshd,18/03/21
Very good,3,com.alibaba.aliexpresshd,18/03/21
Great honest app..,4,com.alibaba.aliexpresshd,18/03/21
"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",2,com.alibaba.aliexpresshd,18/03/21
I can't live without Ali Express ido alot of shopping 🛒,5,com.alibaba.aliexpresshd,18/03/21
👍,5,com.alibaba.aliexpresshd,18/03/21
Would have given 5 stars if Cash on delivery option was available..,1,com.alibaba.aliexpresshd,18/03/21
Nice app,5,com.alibaba.aliexpresshd,18/03/21
Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,4,com.alibaba.aliexpresshd,18/03/21
"So far so good,got items on time",5,com.alibaba.aliexpresshd,18/03/21
Amazing app. Best place to purchase your product internationally,5,com.alibaba.aliexpresshd,18/03/21
Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,5,com.alibaba.aliexpresshd,18/03/21
"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",5,com.alibaba.aliexpresshd,18/03/21
Fast delivery,5,com.alibaba.aliexpresshd,18/03/21
"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",4,com.alibaba.aliexpresshd,18/03/21
رائع للتسوق,5,com.alibaba.aliexpresshd,18/03/21
YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,1,com.alibaba.aliexpresshd,18/03/21
Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,2,com.alibaba.aliexpresshd,18/03/21
This App Really Makes Shopping Easy and Fun,5,com.alibaba.aliexpresshd,18/03/21
Excellent,5,com.alibaba.aliexpresshd,18/03/21
Am very happy to use this app everything is straight forward and deliveries are quick,5,com.alibaba.aliexpresshd,18/03/21
got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1,com.alibaba.aliexpresshd,18/03/21
Very nice app,5,com.alibaba.aliexpresshd,18/03/21
Very easy app to use. Lots to choose from.,5,com.alibaba.aliexpresshd,18/03/21
"Theres one item that i didnt get, but i still like this better than others apps.",5,com.alibaba.aliexpresshd,18/03/21
With time I will give it 5 stars Started using it not quite long,3,com.alibaba.aliexpresshd,18/03/21
"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",5,com.alibaba.aliexpresshd,18/03/21
Amazing,5,com.alibaba.aliexpresshd,18/03/21
For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,5,com.alibaba.aliexpresshd,18/03/21
I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,4,com.alibaba.aliexpresshd,18/03/21
Good,4,com.alibaba.aliexpresshd,18/03/21
Nice,5,com.alibaba.aliexpresshd,18/03/21
My favourite app,5,com.alibaba.aliexpresshd,18/03/21
Great service.,5,com.alibaba.aliexpresshd,18/03/21
Good deals but too long shipping time could it be Faster ??,4,com.alibaba.aliexpresshd,18/03/21
Awesome,1,com.alibaba.aliexpresshd,18/03/21
I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,5,com.alibaba.aliexpresshd,18/03/21
"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",2,com.alibaba.aliexpresshd,18/03/21
"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1,com.alibaba.aliexpresshd,18/03/21
Package was in perfect condition. Shipping was faster than expected..,4,com.alibaba.aliexpresshd,18/03/21
New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,5,com.alibaba.aliexpresshd,18/03/21
👍👍,5,com.alibaba.aliexpresshd,18/03/21
Fair and good,4,com.alibaba.aliexpresshd,18/03/21
Amazing,5,com.alibaba.aliexpresshd,18/03/21
So reliable.,5,com.alibaba.aliexpresshd,18/03/21
Very nice,5,com.alibaba.aliexpresshd,18/03/21
Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1,com.alibaba.aliexpresshd,18/03/21
Awesome and user friendly,5,com.alibaba.aliexpresshd,18/03/21
Useless.. fake,1,com.alibaba.aliexpresshd,18/03/21
Super,5,com.alibaba.aliexpresshd,18/03/21
Love it,5,com.alibaba.aliexpresshd,18/03/21
Great,5,com.alibaba.aliexpresshd,18/03/21
Excellent,5,com.alibaba.aliexpresshd,18/03/21
"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",4,com.alibaba.aliexpresshd,18/03/21
Amazing selection,5,com.alibaba.aliexpresshd,18/03/21
Totally satisfied with shipping time and product's in which I have purchased.,5,com.alibaba.aliexpresshd,18/03/21
Very good,5,com.alibaba.aliexpresshd,18/03/21
Very good Shopping Apps,5,com.alibaba.aliexpresshd,18/03/21
Is ok,4,com.alibaba.aliexpresshd,18/03/21
🙃🙂,5,com.alibaba.aliexpresshd,18/03/21
😊,5,com.alibaba.aliexpresshd,18/03/21
Good app you can get anything you want at any store at your convenience time,5,com.alibaba.aliexpresshd,18/03/21
Best app,5,com.alibaba.aliexpresshd,18/03/21
Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,1,com.alibaba.aliexpresshd,18/03/21
I just had an amazing experience with AliExpress,5,com.alibaba.aliexpresshd,18/03/21
Very good site easy to use,5,com.alibaba.aliexpresshd,18/03/21
"Yep really good until use it a few more times. Thanks. Tony,",3,com.alibaba.aliexpresshd,18/03/21
Trusted and reliable Fast and cheap Accurate and sure,5,com.alibaba.aliexpresshd,18/03/21
Very useful,5,com.alibaba.aliexpresshd,18/03/21
"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",3,com.alibaba.aliexpresshd,18/03/21
I love how they have so many products!,5,com.alibaba.aliexpresshd,18/03/21
Good,5,com.alibaba.aliexpresshd,18/03/21
Easy to look for anything needed,5,com.alibaba.aliexpresshd,18/03/21
nice,5,com.alibaba.aliexpresshd,18/03/21
Its good,4,com.yahoo.mobile.client.android.mail,18/03/21
Excellent,5,com.yahoo.mobile.client.android.mail,18/03/21
It's simply the best,5,com.yahoo.mobile.client.android.mail,18/03/21
"Yeah, it's alright",4,com.yahoo.mobile.client.android.mail,18/03/21
I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,5,com.yahoo.mobile.client.android.mail,18/03/21
Convenient,4,com.yahoo.mobile.client.android.mail,18/03/21
Works for me.,5,com.yahoo.mobile.client.android.mail,18/03/21
Very good 👍,5,com.yahoo.mobile.client.android.mail,18/03/21
Easy to work and read,5,com.yahoo.mobile.client.android.mail,18/03/21
Great!,5,com.yahoo.mobile.client.android.mail,18/03/21
I order all the time from Affirm their pretty reasonable and their fair,5,com.yahoo.mobile.client.android.mail,18/03/21
Great!,5,com.yahoo.mobile.client.android.mail,18/03/21
Very effective and quick,5,com.yahoo.mobile.client.android.mail,18/03/21
"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.",1,com.yahoo.mobile.client.android.mail,18/03/21
It's email...,4,com.yahoo.mobile.client.android.mail,18/03/21
I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,1,com.yahoo.mobile.client.android.mail,18/03/21
Its working satisfactory.,5,com.yahoo.mobile.client.android.mail,18/03/21
Very satisfied,4,com.yahoo.mobile.client.android.mail,18/03/21
Serves my needs very well.,4,com.yahoo.mobile.client.android.mail,18/03/21
Good experience,5,com.yahoo.mobile.client.android.mail,18/03/21
I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,5,com.yahoo.mobile.client.android.mail,18/03/21
Ok email,5,com.yahoo.mobile.client.android.mail,18/03/21
Great,5,com.yahoo.mobile.client.android.mail,18/03/21
Excelentes,5,com.yahoo.mobile.client.android.mail,18/03/21
"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",5,com.yahoo.mobile.client.android.mail,18/03/21
The best,5,com.yahoo.mobile.client.android.mail,18/03/21
TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,3,com.yahoo.mobile.client.android.mail,18/03/21
Yahoo has improved so much more,5,com.yahoo.mobile.client.android.mail,18/03/21
Great functionality and stability!,5,com.yahoo.mobile.client.android.mail,18/03/21
Great app!,5,com.yahoo.mobile.client.android.mail,18/03/21
"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format",5,com.yahoo.mobile.client.android.mail,18/03/21
Well designed for lazy people! Very easy and convenience!,5,com.yahoo.mobile.client.android.mail,18/03/21
Thank you Yahoo! Mail 💌,5,com.yahoo.mobile.client.android.mail,18/03/21
It's nice n good app.,5,com.yahoo.mobile.client.android.mail,18/03/21
Too good,5,com.yahoo.mobile.client.android.mail,18/03/21
Great 👍,5,com.yahoo.mobile.client.android.mail,18/03/21
notices come in twice I only need them once,3,com.yahoo.mobile.client.android.mail,18/03/21
Very easy to use,5,com.yahoo.mobile.client.android.mail,18/03/21
"Have had it forever, has not let me down yet!.",5,com.yahoo.mobile.client.android.mail,18/03/21
The best email provider in my eyes,5,com.yahoo.mobile.client.android.mail,18/03/21
No issues. Works well,5,com.yahoo.mobile.client.android.mail,18/03/21
Abcd,1,com.halfbrick.fruitninjafree,18/03/21
Very user friendly and I feel that my information is secure,5,com.yahoo.mobile.client.android.mail,18/03/21
This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,2,com.yahoo.mobile.client.android.mail,18/03/21
5 stars,5,com.yahoo.mobile.client.android.mail,18/03/21
Very easy to use and understand,5,com.yahoo.mobile.client.android.mail,18/03/21
Very seldom have trouble with it.,5,com.yahoo.mobile.client.android.mail,18/03/21
Thank you so much. Free email apps.,5,com.yahoo.mobile.client.android.mail,18/03/21
Exelente 👍🏻,5,com.yahoo.mobile.client.android.mail,18/03/21
Excellent service,5,com.yahoo.mobile.client.android.mail,18/03/21
"Works well, easy to use",5,com.yahoo.mobile.client.android.mail,18/03/21
Thank you I appreciate this app its been a great tool for me✌I can always count on this app to work🙏,5,com.yahoo.mobile.client.android.mail,18/03/21
Useful,5,com.yahoo.mobile.client.android.mail,18/03/21
So far no issues,5,com.yahoo.mobile.client.android.mail,18/03/21
Good,5,com.yahoo.mobile.client.android.mail,18/03/21
Too many advertisements. It's very annoying.,3,com.yahoo.mobile.client.android.mail,18/03/21
Rubbish,1,com.yahoo.mobile.client.android.mail,18/03/21
Happy,5,com.yahoo.mobile.client.android.mail,18/03/21
Very interesting and convenient to use. Totally user friendly,5,com.yahoo.mobile.client.android.mail,18/03/21
Very fantastics,5,com.badoo.mobile,18/03/21
OK,4,com.yahoo.mobile.client.android.mail,18/03/21
Great job Wii use it more!,4,com.yahoo.mobile.client.android.mail,18/03/21
